run_id,run_timestamp,root_seed,trial_seed,trial,method,n_points,pairs,min_plane,min_sphere,min_delta,mean_delta,median_delta,viol_plane_lt_sphere,num_overlappings
02_100,2026-04-13T09:35:29,1776087329233064000,2847447137445104419,1,dfs,100,4851,1.010742728643093,0.9999996668829294,-1.1527078235313581,441.6648325593667,127.72288361886993,4,0
02_100,2026-04-13T09:35:29,1776087329233064000,2847447137445104419,1,bfs,100,4851,1.0130339044159051,0.9999996668829294,0.013033904694518483,109.30874167415287,50.09744409511367,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2847447137445104419,1,shortest_paths,100,4851,1.0048493864005779,0.999999912946957,0.00484938632544063,170.17697693814023,35.163004851562036,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,1177502769028946371,2,dfs,100,4851,1.0011292794762994,0.9999999995725833,0.0011292794956635488,470.1118446865181,115.88431878272858,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,1177502769028946371,2,bfs,100,4851,1.0055189237414592,0.9999999995725833,0.005518923754230576,169.97015027594216,52.83514784701807,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,1177502769028946371,2,shortest_paths,100,4851,1.0008501099827383,0.9999999995725833,0.000850109995509607,176.65681317550454,32.21466596748425,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,6630497055975933954,3,dfs,100,4851,1.004539488208688,0.999999999718847,0.004539488321271934,380.3368250339389,90.32527021189273,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,6630497055975933954,3,bfs,100,4851,1.0045394882087342,0.999999999718847,0.004539488321318119,113.01124671875363,42.35387480563914,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,6630497055975933954,3,shortest_paths,100,4851,1.0015677018375877,0.999999999718847,0.001567702118740688,187.47870426117345,45.963937782427465,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,7286033667137166433,4,dfs,100,4851,1.0029906772988155,0.9999999999205195,0.0029906772912215995,696.4496654034185,137.83690899304,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,7286033667137166433,4,bfs,100,4851,1.0075115696276387,0.9999999999205195,0.0075115696200447335,196.4357380451146,55.903740514589195,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,7286033667137166433,4,shortest_paths,100,4851,1.0021905418665014,0.9999999999511172,0.002190541867392204,215.86007918212644,31.85234454623309,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,4600750412007714278,5,dfs,100,4851,1.0065484147406478,0.9999998930295502,-0.6010302155653875,422.5756462265889,124.52106724322337,1,0
02_100,2026-04-13T09:35:29,1776087329233064000,4600750412007714278,5,bfs,100,4851,1.0098236284687798,0.9999999156056328,0.009823628501981596,153.3926534383306,56.61731473181272,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,4600750412007714278,5,shortest_paths,100,4851,1.0042355198214052,0.9999998930295502,0.004235519821374156,157.3922755608265,30.582279352782344,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5556399765103619899,6,dfs,100,4851,1.0072831160976037,0.9999999741025891,0.006673032488638153,286.59477721416135,72.01059154336724,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5556399765103619899,6,bfs,100,4851,1.0155458024158242,0.9999999741025891,0.01554580247089199,119.12046585809,51.39893546996949,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5556399765103619899,6,shortest_paths,100,4851,1.0035489189213405,0.9999999741025891,0.0035489190102927504,143.27477906080358,33.665599312460245,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,1776101705142429808,7,dfs,100,4851,1.0025991897382902,0.9999999981190567,0.002599189874859409,744.3210607423306,166.87871971361295,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,1776101705142429808,7,bfs,100,4851,1.0020058214173697,0.999999999663354,0.0020058215539389135,213.7447207984685,64.79152608854892,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,1776101705142429808,7,shortest_paths,100,4851,1.0006097446156559,0.9999999981190567,0.000609744629640474,236.66230739456242,26.951193606934567,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2095275352788716036,8,dfs,100,4851,1.0070576039440726,0.9999999837835785,0.007057603306882765,359.9573840657448,98.32038999296651,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2095275352788716036,8,bfs,100,4851,1.00705760394408,0.9999999712115113,0.007057603306890092,143.11449884204544,45.65147836947113,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2095275352788716036,8,shortest_paths,100,4851,1.0041004068101789,0.9999999837835785,0.004100406227981024,168.83996379566182,42.67373580080301,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,1151642428146985344,9,dfs,100,4851,1.0038432803954045,0.9999999999643854,0.0038432802400558685,350.115111431522,109.23691668560006,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,1151642428146985344,9,bfs,100,4851,1.0083573744506786,0.999999999969494,0.00835737429839889,105.63324091359547,44.1121529749783,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,1151642428146985344,9,shortest_paths,100,4851,1.0036241848725425,0.9999999999643854,0.003624184725011137,138.52602110601146,34.9430870858812,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2102071222970880463,10,dfs,100,4851,1.004274954315178,0.9999999980854012,0.004274953582349195,365.9210293097076,93.65002378720243,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2102071222970880463,10,bfs,100,4851,1.0122568043493692,0.9999999980854012,0.012256804351673867,185.04242028493033,48.979262484025966,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2102071222970880463,10,shortest_paths,100,4851,1.003475503306613,0.9999999981578912,0.0034755020706693784,166.73574637359783,34.61775014080745,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,8084398528864131883,11,dfs,100,4851,1.0142360610806118,0.9999999998720271,-2.748584257881692,303.35870440688586,84.5903045634299,1,0
02_100,2026-04-13T09:35:29,1776087329233064000,8084398528864131883,11,bfs,100,4851,1.023446026344421,0.9999999998720271,0.02344602634870807,94.7716627050302,46.24152972542953,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,8084398528864131883,11,shortest_paths,100,4851,1.0055190248322095,0.9999999999379033,0.005519024836293962,128.64542372451564,42.25225791039025,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2908926162578111581,12,dfs,100,4851,1.0066889754304742,0.9999999998957279,0.006688975413030596,269.6625927454928,78.21206857474942,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2908926162578111581,12,bfs,100,4851,1.0099954806559195,0.9999999998957279,0.009995480572009274,128.37984291839365,46.4139306588933,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2908926162578111581,12,shortest_paths,100,4851,1.0038113801082518,0.9999999999281439,0.003811380116436669,143.98662849851576,33.44383953479975,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,989978511813007594,13,dfs,100,4851,1.0035423556760175,0.9999999998883532,0.003542355543844966,315.11175149309787,104.12491632763167,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,989978511813007594,13,bfs,100,4851,1.003256978290875,0.9999999998402901,0.003256978450584813,132.5198381370642,43.72643286522629,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,989978511813007594,13,shortest_paths,100,4851,1.0030727032977043,0.99999999987318,0.0030727031342834277,163.01952504841307,51.389025270550796,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5373018687461738902,14,dfs,100,4851,1.013882523248768,0.9999999993978662,0.013882523805140767,564.7723529139405,140.79441871500615,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5373018687461738902,14,bfs,100,4851,1.0166546902663811,0.9999999992219598,0.016654690247956072,202.960107501808,53.15803611877759,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5373018687461738902,14,shortest_paths,100,4851,1.0018776486273486,0.9999999998888283,0.0018776486655411873,222.43719554375636,44.50187293051899,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5297756621793324876,15,dfs,100,4851,1.0118009672434287,0.9999999994516965,0.011800967319375966,436.424003166533,90.09132780131384,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5297756621793324876,15,bfs,100,4851,1.011950086352737,0.9999999994516965,0.011950086357472856,177.4160191378778,47.544296762735776,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5297756621793324876,15,shortest_paths,100,4851,1.0037375452847754,0.9999999998930952,0.0037375452848900093,210.16605515177744,38.095226821461296,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,3308394231033805178,16,dfs,100,4851,1.004606909944648,0.9999999994872928,-2.5195826755438073,190.80576000556258,63.8335347254,1,0
02_100,2026-04-13T09:35:29,1776087329233064000,3308394231033805178,16,bfs,100,4851,1.0131106872851838,0.9999999992192881,0.01311068806589577,119.60858115251732,43.97175231708441,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,3308394231033805178,16,shortest_paths,100,4851,1.0038833044879671,0.9999999997168258,0.0038833044357653446,165.07768658785974,36.67355327601212,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,6720553619079166318,17,dfs,100,4851,1.0129737054151546,0.9999999996232406,0.012973704940928199,211.28671655175262,78.85630125062116,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,6720553619079166318,17,bfs,100,4851,1.015932506037067,0.9999999996232406,0.015932506029414872,133.8344592588243,48.041925500579175,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,6720553619079166318,17,shortest_paths,100,4851,1.0042356024519192,0.9999999996747513,0.004235602700782826,132.31331973036055,33.15651492328513,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,183260444503463040,18,dfs,100,4851,1.0058916434378182,0.9999999999522233,0.005891643439275507,478.79451654964004,156.55972555065557,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,183260444503463040,18,bfs,100,4851,1.0152838430822368,0.9999999999522233,0.01528384303342234,131.66712377473758,51.7551253153242,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,183260444503463040,18,shortest_paths,100,4851,1.0037023668988252,0.9999999999706132,0.0037023668996477577,201.7486078678035,46.71702285357257,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,3546923142986245584,19,dfs,100,4851,1.0150331826368573,0.9999999998458051,0.015033182641385867,256.0921497910462,61.943465682074674,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,3546923142986245584,19,bfs,100,4851,1.0251863425176313,0.9999999998458051,0.02518634252231655,126.81247591150536,47.7395747693721,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,3546923142986245584,19,shortest_paths,100,4851,1.0049207880939754,0.9999999999654962,0.00492078809344032,174.98145378840331,39.03768903388863,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,33658458382664106,20,dfs,100,4851,0.0008707199901053385,0.9999999970250855,-8.642694071414788,516.0848001595081,118.55421183511993,26,1
02_100,2026-04-13T09:35:29,1776087329233064000,33658458382664106,20,bfs,100,4851,1.0051049427658398,0.9999999970250855,0.005104942723655137,160.22469923476396,50.39534406014581,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,33658458382664106,20,shortest_paths,100,4851,1.0019962987805044,0.9999999997143392,0.0019962988041274388,180.21581322546123,33.86057522617036,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,869230891574484605,21,dfs,100,4851,1.0035602488478501,0.9999999999112004,0.003560243682007691,578.5229313345801,125.00929685583453,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,869230891574484605,21,bfs,100,4851,1.0115764133305747,0.9999999998653933,0.011576413376874095,178.6317242524548,48.892854958728336,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,869230891574484605,21,shortest_paths,100,4851,1.0026809855447947,0.9999999999112004,0.002680980306467129,206.66953027187822,36.60747845948468,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5140672534987217387,22,dfs,100,4851,0.9066797295538456,0.9999999997368353,-2.9924951406074616,337.2408887055754,66.11535295880334,12,1
02_100,2026-04-13T09:35:29,1776087329233064000,5140672534987217387,22,bfs,100,4851,1.0022685544564212,0.999999999808189,0.002268554625271868,245.02710966190668,46.975758718113696,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,5140672534987217387,22,shortest_paths,100,4851,1.0006502814153828,0.999999999897869,0.0006502813526922946,245.20533449537726,33.35757807440083,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,6792475673423736250,23,dfs,100,4851,1.0022242430729815,0.9999998414131116,0.0022242430796929336,375.68353259742463,88.9762543962692,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,6792475673423736250,23,bfs,100,4851,1.0037850875765015,0.9999998414131116,0.0037850876373972664,195.29801988778794,55.28990158859298,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,6792475673423736250,23,shortest_paths,100,4851,1.0009654476897998,0.9999999999374917,0.0009654476989778837,233.64622900159324,45.702526907441516,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2806931223705072926,24,dfs,100,4851,1.0096580259587271,0.9999999997685466,0.009658026072059456,573.1348358869643,115.89452246031067,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2806931223705072926,24,bfs,100,4851,1.0096580259587271,0.9999999997398312,0.009658026072059456,182.57119468375487,46.115017176280446,0,0
02_100,2026-04-13T09:35:29,1776087329233064000,2806931223705072926,24,shortest_paths,100,4851,1.0020001426021903,0.9999999999409156,0.002000142612333722,227.922218798579,38.5943610298001,0,0
